Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Query
SRR22314236,2022-12-06 22:08:19,2022-11-16 14:41:34,145106.0,750866971.0,0.0,5174.0,636.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22314/SRR22314236/SRR22314236.1,SRX18287673,MBWGS154_NP,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP408274,PRJNA902023,3.0,902023.0,SRS15779430,SAMN31746260,simple,1765.0,Mycobacterium tuberculosis variant bovis,2016/0386,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1541905,,public,0F96BEE7A7103C14B41EE44BE7ED82AD,C3B6823FF1668E5226DA6B11FB1C21D2,SAMN31746260
SRR22314237,2022-12-06 22:08:19,2022-11-16 14:40:28,2235253.0,1071949507.0,2235253.0,479.0,601.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR022/22314/SRR22314237/SRR22314237.lite.1,SRX18287672,MBWGS154_Il,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP408274,PRJNA902023,3.0,902023.0,SRS15779430,SAMN31746260,simple,1765.0,Mycobacterium tuberculosis variant bovis,2016/0386,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1541905,,public,96F815DE32B6217BD8B60429620F7A1B,1D2E0768EEEFE8ED368662BFC1E72089,SAMN31746260
SRR22314234,2022-12-06 22:08:19,2022-11-16 14:39:20,61840.0,234623208.0,0.0,3794.0,199.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22314/SRR22314234/SRR22314234.1,SRX18287675,MBWGS204_NP,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP408274,PRJNA902023,3.0,902023.0,SRS15779431,SAMN31746122,simple,1765.0,Mycobacterium tuberculosis variant bovis,2018/0565,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1541905,,public,03F0581AF28C68D217F2E69081CFD9AA,CF651D19F8CFDF0D8B54B147399A6529,SAMN31746122
SRR22314235,2022-12-06 22:08:19,2022-11-16 14:47:37,7901428.0,2826340057.0,7901428.0,357.0,1513.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR022/22314/SRR22314235/SRR22314235.lite.1,SRX18287674,MBWGS204_Il,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP408274,PRJNA902023,3.0,902023.0,SRS15779431,SAMN31746122,simple,1765.0,Mycobacterium tuberculosis variant bovis,2018/0565,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1541905,,public,A4E2AC9C983AB1BC25382C8EA21C2726,B8CE03CF456C5D8D78DC1D204FA55EEA,SAMN31746122
SRR23325069,2023-02-23 15:31:14,2023-02-02 19:06:05,1321874.0,583122798.0,1321874.0,441.0,361.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR023/23325/SRR23325069/SRR23325069.lite.1,SRX19267298,MBWGS351_Ill,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP420745,PRJNA930491,3.0,930491.0,SRS16669432,SAMN33010680,simple,1765.0,Mycobacterium tuberculosis variant bovis,2022/0038,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1584207,,public,A6340C97A1A50F2DE682C0E3103C1DD1,D1B5CADD92CEAC5EB605319C62D0EEF4,SAMN33010680
SRR23325070,2023-02-23 15:31:14,2023-02-02 19:06:00,71783.0,192922878.0,0.0,2687.0,159.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23325/SRR23325070/SRR23325070.1,SRX19267297,MBWGS351_NP,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP420745,PRJNA930491,3.0,930491.0,SRS16669432,SAMN33010680,simple,1765.0,Mycobacterium tuberculosis variant bovis,2022/0038,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1584207,,public,6FC30B16EC5EE13A1EB85711ED77ED78,6F7AC5606D4CBA3B5859B3DA4B0E27E0,SAMN33010680
SRR28378595,2024-10-22 16:13:04,2024-03-18 17:05:17,1015129.0,478181689.0,1015129.0,471.0,270.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28378/SRR28378595/SRR28378595.lite.1,SRX23983645,MBWGS366_Il,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP496191,PRJNA1089215,,1089215.0,SRS20781298,SAMN40530662,simple,1765.0,Mycobacterium tuberculosis variant bovis,2023/0113,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1827710,,public,7D8CE4C31F8211D4A4F2D639E99C4DC0,4B71FFE4DF24136212075305F0ACCEE7,SAMN40530662
SRR29584401,2024-10-22 16:13:04,2024-06-26 21:59:40,139898.0,527332984.0,0.0,3769.0,441.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR029/29584/SRR29584401/SRR29584401.1,SRX25091033,MBWGS366_NP,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP496191,PRJNA1089215,,1089215.0,SRS20781298,SAMN40530662,simple,1765.0,Mycobacterium tuberculosis variant bovis,2023/0113,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1910395,,public,F39114EF6D87DFA4C3C9635C420E76AB,0DC9167EEBE6B10D8B8850DE38A5A5F1,SAMN40530662
SRR25445073,2023-11-30 00:03:37,2023-07-28 04:56:45,41226.0,93414663.0,0.0,2265.0,80.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR025/25445/SRR25445073/SRR25445073.1,SRX21178329,22-4682,WGS,other,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP278968,PRJNA659624,,659624.0,SRS18439186,SAMN36736233,simple,1773.0,Mycobacterium tuberculosis,22-4682,,,,,,,no,,,,,INSTITUT PASTEUR DE MADAGASCAR,SRA1682078,,public,2AA010C181A4BB4092578955C575E354,544DB5DD8D8C1C0ADF97470FB491A68E,SAMN36736233
SRR25446752,2023-10-11 08:02:05,2023-07-28 11:39:16,9795.0,23370304.0,0.0,2385.0,20.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR025/25446/SRR25446752/SRR25446752.1,SRX21179979,22-4892,WGS,other,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP278968,PRJNA659624,,659624.0,SRS18440552,SAMN36744121,simple,1773.0,Mycobacterium tuberculosis,22-4892_ONT,,,,,,,no,,,,,INSTITUT PASTEUR DE MADAGASCAR,SRA1682181,,public,2AE3864E87ED1B241EC36447546C6697,AE1D808517645A40EF7C9CA5C10052C0,SAMN36744121
